[?25l[?25h   +------------------------------------------+----------+------+------+--------+
   | filename                                 | coverage | LOC  | SLOC | missed |
   | NX/util/Observable/relayEvents.js        |   100.00 |   37 |    8 |      0 |
   | NX/util/Observable/suspendEvents.js      |   100.00 |   33 |    3 |      0 |
   | NX/util/Observable/resumeEvents.js       |   100.00 |   36 |    3 |      0 |
   | NX/util/Observable/createRelayer.js      |   100.00 |   28 |    4 |      0 |
   | NX/util/Observable/enableBubble.js       |   100.00 |   52 |    4 |      0 |
   +------------------------------------------+----------+------+------+--------+
                                              |    69.00 | 7927 |  613 |    190 |
                                              +----------+------+------+--------+









































































































































